name,nb_arg,nb_branch_star
debate_graph_star_10_arg_19_6325.apx,19,10
debate_graph_star_10_arg_20_122.apx,20,10
debate_graph_star_10_arg_20_1459.apx,20,10
debate_graph_star_10_arg_20_2863.apx,20,10
debate_graph_star_10_arg_20_3592.apx,20,10
debate_graph_star_10_arg_20_4331.apx,20,10
debate_graph_star_10_arg_20_5840.apx,20,10
debate_graph_star_10_arg_20_9091.apx,20,10
debate_graph_star_10_arg_21_1643.apx,21,10
debate_graph_star_10_arg_21_3573.apx,21,10
debate_graph_star_10_arg_21_4457.apx,21,10
debate_graph_star_10_arg_21_4869.apx,21,10
debate_graph_star_10_arg_21_499.apx,21,10
debate_graph_star_10_arg_21_5691.apx,21,10
debate_graph_star_10_arg_21_5917.apx,21,10
debate_graph_star_10_arg_21_6290.apx,21,10
debate_graph_star_10_arg_21_6785.apx,21,10
debate_graph_star_10_arg_21_7350.apx,21,10
debate_graph_star_10_arg_21_768.apx,21,10
debate_graph_star_10_arg_22_1848.apx,22,10
debate_graph_star_10_arg_22_1888.apx,22,10
debate_graph_star_10_arg_22_2182.apx,22,10
debate_graph_star_10_arg_22_2689.apx,22,10
debate_graph_star_10_arg_22_3297.apx,22,10
debate_graph_star_10_arg_22_3454.apx,22,10
debate_graph_star_10_arg_22_4050.apx,22,10
debate_graph_star_10_arg_22_5120.apx,22,10
debate_graph_star_10_arg_22_6695.apx,22,10
debate_graph_star_10_arg_22_8112.apx,22,10
debate_graph_star_10_arg_22_8464.apx,22,10
debate_graph_star_10_arg_23_1355.apx,23,10
debate_graph_star_10_arg_23_1393.apx,23,10
debate_graph_star_10_arg_23_1444.apx,23,10
debate_graph_star_10_arg_23_1589.apx,23,10
debate_graph_star_10_arg_23_1699.apx,23,10
debate_graph_star_10_arg_23_2388.apx,23,10
debate_graph_star_10_arg_23_2673.apx,23,10
debate_graph_star_10_arg_23_3326.apx,23,10
debate_graph_star_10_arg_23_3436.apx,23,10
debate_graph_star_10_arg_23_3646.apx,23,10
debate_graph_star_10_arg_23_3889.apx,23,10
debate_graph_star_10_arg_23_4536.apx,23,10
debate_graph_star_10_arg_23_456.apx,23,10
debate_graph_star_10_arg_23_5223.apx,23,10
debate_graph_star_10_arg_23_5498.apx,23,10
debate_graph_star_10_arg_23_560.apx,23,10
debate_graph_star_10_arg_23_6337.apx,23,10
debate_graph_star_10_arg_23_6527.apx,23,10
debate_graph_star_10_arg_23_6659.apx,23,10
debate_graph_star_10_arg_23_7876.apx,23,10
debate_graph_star_10_arg_23_8387.apx,23,10
debate_graph_star_10_arg_23_8837.apx,23,10
debate_graph_star_10_arg_23_890.apx,23,10
debate_graph_star_10_arg_23_9162.apx,23,10
debate_graph_star_10_arg_23_9443.apx,23,10
debate_graph_star_10_arg_24_1117.apx,24,10
debate_graph_star_10_arg_24_1277.apx,24,10
debate_graph_star_10_arg_24_1617.apx,24,10
debate_graph_star_10_arg_24_1950.apx,24,10
debate_graph_star_10_arg_24_2269.apx,24,10
debate_graph_star_10_arg_24_2490.apx,24,10
debate_graph_star_10_arg_24_2565.apx,24,10
debate_graph_star_10_arg_24_3603.apx,24,10
debate_graph_star_10_arg_24_3886.apx,24,10
debate_graph_star_10_arg_24_4214.apx,24,10
debate_graph_star_10_arg_24_4263.apx,24,10
debate_graph_star_10_arg_24_4340.apx,24,10
debate_graph_star_10_arg_24_4465.apx,24,10
debate_graph_star_10_arg_24_5019.apx,24,10
debate_graph_star_10_arg_24_5242.apx,24,10
debate_graph_star_10_arg_24_5483.apx,24,10
debate_graph_star_10_arg_24_5631.apx,24,10
debate_graph_star_10_arg_24_5632.apx,24,10
debate_graph_star_10_arg_24_5862.apx,24,10
debate_graph_star_10_arg_24_6010.apx,24,10
debate_graph_star_10_arg_24_6380.apx,24,10
debate_graph_star_10_arg_24_6426.apx,24,10
debate_graph_star_10_arg_24_7375.apx,24,10
debate_graph_star_10_arg_24_7482.apx,24,10
debate_graph_star_10_arg_24_7485.apx,24,10
debate_graph_star_10_arg_24_7947.apx,24,10
debate_graph_star_10_arg_24_829.apx,24,10
debate_graph_star_10_arg_24_8340.apx,24,10
debate_graph_star_10_arg_24_8900.apx,24,10
debate_graph_star_10_arg_24_8987.apx,24,10
debate_graph_star_10_arg_24_9120.apx,24,10
debate_graph_star_10_arg_24_9346.apx,24,10
debate_graph_star_10_arg_24_9803.apx,24,10
debate_graph_star_10_arg_25_1732.apx,25,10
debate_graph_star_10_arg_25_1864.apx,25,10
debate_graph_star_10_arg_25_2129.apx,25,10
debate_graph_star_10_arg_25_2244.apx,25,10
debate_graph_star_10_arg_25_2373.apx,25,10
debate_graph_star_10_arg_25_340.apx,25,10
debate_graph_star_10_arg_25_3679.apx,25,10
debate_graph_star_10_arg_25_3805.apx,25,10
debate_graph_star_10_arg_25_3887.apx,25,10
debate_graph_star_10_arg_25_4122.apx,25,10
debate_graph_star_10_arg_25_4427.apx,25,10
debate_graph_star_10_arg_25_4659.apx,25,10
debate_graph_star_10_arg_25_4706.apx,25,10
debate_graph_star_10_arg_25_5080.apx,25,10
debate_graph_star_10_arg_25_5667.apx,25,10
debate_graph_star_10_arg_25_640.apx,25,10
debate_graph_star_10_arg_25_6536.apx,25,10
debate_graph_star_10_arg_25_6585.apx,25,10
debate_graph_star_10_arg_25_6639.apx,25,10
debate_graph_star_10_arg_25_671.apx,25,10
debate_graph_star_10_arg_25_6905.apx,25,10
debate_graph_star_10_arg_25_7077.apx,25,10
debate_graph_star_10_arg_25_7443.apx,25,10
debate_graph_star_10_arg_25_7647.apx,25,10
debate_graph_star_10_arg_25_7850.apx,25,10
debate_graph_star_10_arg_25_7964.apx,25,10
debate_graph_star_10_arg_25_831.apx,25,10
debate_graph_star_10_arg_25_8378.apx,25,10
debate_graph_star_10_arg_26_1075.apx,26,10
debate_graph_star_10_arg_26_1138.apx,26,10
debate_graph_star_10_arg_26_120.apx,26,10
debate_graph_star_10_arg_26_1241.apx,26,10
debate_graph_star_10_arg_26_138.apx,26,10
debate_graph_star_10_arg_26_1697.apx,26,10
debate_graph_star_10_arg_26_1765.apx,26,10
debate_graph_star_10_arg_26_1844.apx,26,10
debate_graph_star_10_arg_26_1972.apx,26,10
debate_graph_star_10_arg_26_2045.apx,26,10
debate_graph_star_10_arg_26_2222.apx,26,10
debate_graph_star_10_arg_26_249.apx,26,10
debate_graph_star_10_arg_26_2635.apx,26,10
debate_graph_star_10_arg_26_2802.apx,26,10
debate_graph_star_10_arg_26_2821.apx,26,10
debate_graph_star_10_arg_26_2880.apx,26,10
debate_graph_star_10_arg_26_3028.apx,26,10
debate_graph_star_10_arg_26_3176.apx,26,10
debate_graph_star_10_arg_26_3220.apx,26,10
debate_graph_star_10_arg_26_3262.apx,26,10
debate_graph_star_10_arg_26_3331.apx,26,10
debate_graph_star_10_arg_26_3884.apx,26,10
debate_graph_star_10_arg_26_410.apx,26,10
debate_graph_star_10_arg_26_4225.apx,26,10
debate_graph_star_10_arg_26_4556.apx,26,10
debate_graph_star_10_arg_26_5027.apx,26,10
debate_graph_star_10_arg_26_505.apx,26,10
debate_graph_star_10_arg_26_5063.apx,26,10
debate_graph_star_10_arg_26_5776.apx,26,10
debate_graph_star_10_arg_26_5844.apx,26,10
debate_graph_star_10_arg_26_5946.apx,26,10
debate_graph_star_10_arg_26_5963.apx,26,10
debate_graph_star_10_arg_26_6086.apx,26,10
debate_graph_star_10_arg_26_6314.apx,26,10
debate_graph_star_10_arg_26_6920.apx,26,10
debate_graph_star_10_arg_26_6940.apx,26,10
debate_graph_star_10_arg_26_7010.apx,26,10
debate_graph_star_10_arg_26_706.apx,26,10
debate_graph_star_10_arg_26_7128.apx,26,10
debate_graph_star_10_arg_26_7211.apx,26,10
debate_graph_star_10_arg_26_7394.apx,26,10
debate_graph_star_10_arg_26_7402.apx,26,10
debate_graph_star_10_arg_26_7411.apx,26,10
debate_graph_star_10_arg_26_7731.apx,26,10
debate_graph_star_10_arg_26_7887.apx,26,10
debate_graph_star_10_arg_26_7923.apx,26,10
debate_graph_star_10_arg_26_8.apx,26,10
debate_graph_star_10_arg_26_807.apx,26,10
debate_graph_star_10_arg_26_8570.apx,26,10
debate_graph_star_10_arg_26_8847.apx,26,10
